C00400929|N|M4|P2026|202504119755217191|24K|CCM|BARRAGAN FOR CONGRESS|SAN PEDRO|CA|90731|||03042025|2500|C00577353|H6CA44103|F1F7014615075D33642|1885345|||4041120251183924956
C00400929|N|M4|P2030|202504119755217191|24K|CCM|BERNIE MORENO FOR SENATE|COLUMBUS|OH|43234|||03042025|3500|C00837484|S4OH00192|06A73ACC9F72CC958DD|1885345|||4041120251183924957
C00400929|N|M4|R2026|202504119755217191|24K|CCM|BILL CASSIDY FOR US SENATE|BATON ROUGE|LA|708980505|||03202025|5000|C00543983|S4LA00107|B1B416EFD262EB577A6|1885345|||4041120251183924958
C00400929|N|M4|P2026|202504119755217192|24K|CCM|BLAKE MOORE FOR CONGRESS|SALT LAKE CITY|UT|84102|||03202025|5000|C00738872|H0UT01205|6ECF700EB9D396EA3DF|1885345|||4041120251183924959
C00400929|N|M4|G2028|202504119755217192|24K|CCM|BRITT FOR ALABAMA INC|MONTGOMERY|AL|36109|||03042025|2000|C00781443|S2AL00145|E682BE39616A34D6DBA|1885345|||4041120251183924960
C00400929|N|M4|P2026|202504119755217193|24K|CCM|BUDDY CARTER FOR CONGRESS|SAVANNAH|GA|31412|||03042025|5000|C00543967|H4GA01039|3A8025D87DE35FDF1B1|1885345|||4041120251183924962
C00400929|N|M4|G2026|202504119755217193|24K|CCM|BUDDY CARTER FOR CONGRESS|SAVANNAH|GA|31412|||03042025|5000|C00543967|H4GA01039|3CD917C3B47A5FF60F7|1885345|||4041120251183924963
C00400929|N|M4|P2026|202504119755217194|24K|CCM|CAROL FOR CONGRESS|ALEXANDRIA|VA|22314|||03042025|2500|C00653220|H8WV03097|3D2A249414A625FCDB3|1885345|||4041120251183924965
C00400929|N|M4|P2026|202504119755217194|24K|CCM|CITIZENS FOR BOYLE|WASHINGTON|DC|20009|||03042025|2500|C00543363|H4PA13199|98CF79400F73AD1534A|1885345|||4041120251183924966
C00400929|N|M4|P2026|202504119755217195|24K|CCM|DEREK TRAN FOR CONGRESS|GARDEN GROVE|CA|92842|||03202025|2500|C00851790|H4CA45170|5D5D98DD43458B975F8|1885345|||4041120251183924968
C00400929|N|M4|P2026|202504119755217195|24K|CCM|DIANA FOR CONGRESS|KINGSPORT|TN|37664|||03042025|5000|C00741090|H0TN01118|3989E30FF653520C63E|1885345|||4041120251183924969
